time,value
9:55:00,14.5
9:50:00,14.2
9:40:00,13.9
9:30:00,13.5
9:15:00,13.5
9:10:00,13.2
9:05:00,13.2
9:00:00,12.9
8:55:00,13.2
8:50:00,12.9
8:45:00,12.9
8:40:00,12.6
8:35:00,12.9
8:25:00,12.9
8:20:00,12.6
8:15:00,12.9
8:10:00,12.3
8:05:00,12.9
8:00:00,12.6
7:55:00,12.9
7:50:00,12.6
7:45:00,12.9
7:40:00,12.6
7:35:00,12.6
7:30:00,12.6
7:25:00,12.6
7:20:00,12.3
7:20:00,12.3
7:15:00,12.6
7:10:00,12.6
7:05:00,12.6
6:55:00,12.6
6:50:00,12.3
6:45:00,12.3
6:40:00,12.3
6:35:00,12.3
6:25:00,12.3
6:15:00,11.9
6:15:00,12.3
6:05:00,12.3
6:00:00,12.3
5:50:00,12.3
5:50:00,11.9
5:45:00,12.3
5:40:00,12.3
5:35:00,12.3
5:30:00,12.3
5:20:00,12.3
5:10:00,12.3
5:05:00,12.3
5:00:00,12.3
4:50:00,12.3
4:45:00,11.9
4:40:00,12.3
4:35:00,12.3
4:30:00,12.3
4:20:00,12.3
4:15:00,12.3
4:15:00,11.9
4:10:00,12.3
4:05:00,11.9
4:00:00,12.3
3:50:00,12.3
3:45:00,12.3
3:40:00,12.3
3:35:00,12.3
3:30:00,12.3
3:25:00,12.3
3:20:00,12.3
3:15:00,11.9
3:10:00,12.3
3:00:00,12.3
3:00:00,12.3
2:50:00,12.3
2:40:00,12.3
2:35:00,12.3
2:30:00,12.3
2:25:00,11.9
2:20:00,11.9
2:15:00,11.9
2:05:00,11.9
1:55:00,11.9
1:45:00,11.9
1:35:00,11.9
1:25:00,12.3
1:20:00,11.9
1:15:00,12.6
1:05:00,12.6
0:55:00,12.6
0:45:00,12.9
0:40:00,12.9
0:35:00,12.9
0:30:00,12.6
0:25:00,12.9
0:15:00,12.9
0:10:00,12.9
0:05:00,12.9
0:00:00,12.9
23:55:00,12.9
23:45:00,13.2
23:30:00,13.2
23:20:00,13.2
23:10:00,13.2
23:00:00,13.2
22:55:00,13.2
22:50:00,13.2
22:40:00,12.6
22:30:00,13.2
22:20:00,13.2
22:10:00,13.2
22:05:00,13.2
21:55:00,13.2
21:45:00,12.9
21:40:00,12.9
21:30:00,13.2
21:20:00,13.2
21:15:00,13.2
21:10:00,13.2
21:05:00,12.9
21:00:00,13.5
20:50:00,13.5
20:40:00,13.5
20:35:00,13.5
20:25:00,13.9
20:15:00,13.9
19:55:00,13.9
19:45:00,13.9
19:35:00,14.2
19:25:00,14.2
19:15:00,13.9
19:05:00,14.2
19:00:00,13.9
18:55:00,14.2
18:45:00,14.2
18:40:00,13.9
18:35:00,14.2
18:25:00,14.2
18:20:00,14.2
18:15:00,14.5
18:10:00,14.2
18:05:00,14.2
18:00:00,13.9
17:55:00,14.5
17:50:00,13.9
17:45:00,14.5
17:40:00,13.9
17:35:00,14.8
17:30:00,14.2
17:25:00,15.2
17:20:00,14.5
17:10:00,15.2
17:00:00,15.5
16:50:00,15.8
16:50:00,16.5
16:40:00,15.5
16:35:00,15.5
16:35:00,14.8
16:30:00,15.5
16:25:00,14.8
16:20:00,15.8
16:10:00,15.8
16:05:00,15.2
16:00:00,15.8
15:35:00,15.5
15:30:00,16.5
15:10:00,16.8
15:00:00,18.4
14:50:00,17.7
14:40:00,16.8
14:20:00,20
14:10:00,18.1
13:55:00,16.8
13:55:00,18.4
13:45:00,19.7
13:35:00,19.4
13:20:00,16.5
13:15:00,18.1
13:05:00,19.4
12:55:00,19.7
12:50:00,18.7
12:35:00,18.7
12:30:00,18.1
12:25:00,19.7
12:15:00,19.7
12:05:00,20
11:55:00,19
11:45:00,20.3
11:35:00,16.8
11:30:00,16.8
11:30:00,18.1
11:25:00,18.4
11:00:00,17.1
11:00:00,17.7
10:55:00,19
10:40:00,19
10:30:00,19
10:20:00,18.1
10:10:00,18.4
10:00:00,17.4
9:55:00,15.8
9:50:00,17.7
9:40:00,17.4
